traditionalName	bname	NativeGene	in_iYLI647
AAT1	YALI0B02178g	AAT1	1
AAT1-2	YALI0F29337g	AAT1-2	1
ACBP	YALI0E23185g	ACBP	1
ACC1	YALI0C11407g	ACC1	1
ACH1	YALI0E30965g	ACH1	1
ACL1	YALI0E34793g	ACL1	1
ACL2	YALI0D24431g	ACL2	1
ACO1	YALI0D09361g	ACO1	1
ACO2	YALI0E14949g	ACO2	1
ACOAAT1	YALI0B08536g	ACOAAT1	1
ACOAAT2	YALI0E11099g	ACOAAT2	1
ACS	YALI0F05962g	ACS	1
ACS1	YALI0F05962g	ACS1	1
ACS2	YALI0F05962g	ACS2	1
ADH	YALI0E12463g	ADH	1
ADX	YALI0B14839g	ADX	0
ALD1	YALI0B01298g	ALD1	1
ALD2	YALI0C03025g	ALD2	1
ALD3	YALI0E00264g	ALD3	1
ALD4	YALI0F23793g	ALD4	1
ALD5	YALI0D07942g	ALD5	1
ALD6	YALI0F04444g	ALD6	1
ALE1	YALI0F19514g	ALE1	0
ALK1	YALI0E25982g	ALK1	1
ALK10	YALI0B20702g	ALK10	0
ALK11	YALI0C10054g	ALK11	0
ALK12	YALI0A20130g	ALK12	0
ALK2	YALI0F01320g	ALK2	1
ALK3	YALI0A20130g	ALK3	0
ALK4	YALI0B13816g	ALK4	0
ALK5	YALI0B13838g	ALK5	0
ALK6	YALI0B01848g	ALK6	0
ALK7	YALI0A15488g	ALK7	0
ALK8	YALI0C12122g	ALK8	0
ALK9	YALI0B06248g	ALK9	0
AMPD	YALI0E11495g	AMPD	1
AMPD1	YALI0E11495g	AMPD1	1
ANT1	YALI0E03058g	ANT1	1
APP1	YALI0D02233g	APP1	0
ARE1	YALI0F06578g	ARE1	0
ARO1	YALI0F12639g	ARO1	1
ARO10	YALI0D06930g	ARO10	1
ARO4	YALI0B22440g	ARO4	0
aroC	YALI0D17930g	aroC	1
aroM	YALI0F12639g	aroM	1
BPL1	YALI0E30591g	BPL1	0
CDS1	YALI0E14443g	CDS1	1
CHA1	YALI0E10307g	CHA1	1
CHO1	YALI0D08514g	CHO1	1
CHO2	YALI0E06061g	CHO2	1
CIT1	YALI0E00638g	CIT1	1
CIT2	YALI0E02684g	CIT2	1
CPR1	YALI0D04422g	CPR1	1
CRT	YALI0B10406g	CRT	1
DGA1	YALI0E32769g	DGA1	1
DGA2	YALI0D07986g	DGA2	0
DHS1	YALI0B20020g	DHS1	1
DHS2	YALI0B22440g	DHS2	0
DHS3	YALI0C06952g	DHS3	1
